,Title,Artist,URL
158,Plug In Baby,Muse,https://tabs.ultimate-guitar.com/tab/muse/plug-in-baby-guitar-pro-226465
159,A Tout Le Monde,Megadeth,https://tabs.ultimate-guitar.com/tab/megadeth/a-tout-le-monde-guitar-pro-385547
160,Hey There Delilah,Plain White T's,https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-guitar-pro-277328
161,Psychosocial,Slipknot,https://tabs.ultimate-guitar.com/tab/slipknot/psychosocial-guitar-pro-708060
162,Sharp Dressed Man,ZZ Top,https://tabs.ultimate-guitar.com/tab/zz-top/sharp-dressed-man-guitar-pro-248123
163,River Flows In You,Sungha Jung,https://tabs.ultimate-guitar.com/tab/sungha-jung/river-flows-in-you-guitar-pro-980540
164,Use Somebody,Kings of Leon,https://tabs.ultimate-guitar.com/tab/kings-of-leon/use-somebody-guitar-pro-752316
165,Rock And Roll,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/rock-and-roll-guitar-pro-223788
166,Come Together,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/come-together-guitar-pro-470084
167,Tnt,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/tnt-guitar-pro-550274
168,Hallelujah,Jeff Buckley,https://tabs.ultimate-guitar.com/tab/jeff-buckley/hallelujah-guitar-pro-215917
169,The Kill,Thirty Seconds To Mars,https://tabs.ultimate-guitar.com/tab/thirty-seconds-to-mars/the-kill-guitar-pro-564000
170,Simple Man,Lynyrd Skynyrd,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/simple-man-guitar-pro-224322
171,Anastasia,Slash,https://tabs.ultimate-guitar.com/tab/slash/anastasia-guitar-pro-1156866
172,Otherside,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/otherside-guitar-pro-229837
173,Let It Be,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-guitar-pro-470117
174,Rylynn,Andy McKee,https://tabs.ultimate-guitar.com/tab/andy-mckee/rylynn-guitar-pro-638182
175,Bat Country,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/bat-country-guitar-pro-491246
176,Whole Lotta Love,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/whole-lotta-love-guitar-pro-223833
177,Babe Im Gonna Leave You,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/babe-im-gonna-leave-you-guitar-pro-223705
178,2 Minutes To Midnight,Iron Maiden,https://tabs.ultimate-guitar.com/tab/iron-maiden/2-minutes-to-midnight-guitar-pro-222022
179,Another One Bites The Dust,Queen,https://tabs.ultimate-guitar.com/tab/queen/another-one-bites-the-dust-guitar-pro-228888
180,While My Guitar Gently Weeps,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/while-my-guitar-gently-weeps-guitar-pro-445968
181,Carry On Wayward Son,Kansas,https://tabs.ultimate-guitar.com/tab/kansas/carry-on-wayward-son-guitar-pro-222849
182,War Pigs,Black Sabbath,https://tabs.ultimate-guitar.com/tab/black-sabbath/war-pigs-guitar-pro-215191
183,Johnny B Goode,Chuck Berry,https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-guitar-pro-214908
184,Behind Blue Eyes,Limp Bizkit,https://tabs.ultimate-guitar.com/tab/limp-bizkit/behind-blue-eyes-guitar-pro-223924
185,Thunderstruck,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/thunderstruck-guitar-pro-405847
186,Pride And Joy,Stevie Ray Vaughan & Double Trouble,https://tabs.ultimate-guitar.com/tab/stevie-ray-vaughan-double-trouble/pride-and-joy-guitar-pro-629691
187,Hangar 18,Megadeth,https://tabs.ultimate-guitar.com/tab/megadeth/hangar-18-guitar-pro-225115
